code,description
0601012D0BCBABA,Mixtard 30 Penfill 100units/ml inj 3ml cartridges
0601012D0BCBBBK,Mixtard 40 Penfill 100units/ml inj 3ml cartridges
0601012D0BCBCBU,Mixtard 50 Penfill 100units/ml inj 3ml cartridges
0601012D0BCBDBZ,Mixtard 30 InnoLet 100units/ml inj 3ml pre-filled pens
0601012D0BEAHBD,Hypurin Porcine 30/70 Mix 100units/ml inj 1.5ml cartridges
0601012D0BEAIBY,Hypurin Porcine 30/70 Mix 100units/ml inj 3ml cartridges
0601012D0BGABBN,Insuman Comb 25 100units/ml inj 3ml cartridges
0601012D0BGADBS,Insuman Comb 15 100units/ml inj 3ml cartridges
0601012D0BGAFBU,Insuman Comb 50 100units/ml inj 3ml cartridges
0601012D0BGAGBV,Insuman Comb 15 100units/ml inj 3ml pre-filled OptiSet pens
0601012D0BGAHBW,Insuman Comb 25 100units/ml inj 3ml pre-filled OptiSet pens
0601012D0BGAIBX,Insuman Comb 50 100units/ml inj 3ml pre-filled OptiSet pens
0601012D0BGAJBW,Insuman Comb 25 100units/ml inj 3ml pre-filled SoloStar pens
0601012F0AAAAAA,Insulin lispro biphasic 25/75 100u/ml inj 3ml pf dispos dev
0601012F0AAABAB,Insulin lispro biphasic 25/75 100units/ml inj 3ml cartridges
0601012F0AAACAC,Insulin lispro biphasic 50/50 100u/ml inj 3ml pf dispos dev
0601012F0AAADAD,Insulin lispro biphasic 50/50 100units/ml inj 3ml cartridges
0601012F0BBAAAA,Humalog Mix25 Pen 100units/ml inj 3ml pre-filled pens
0601012F0BBABAB,Humalog Mix25 100units/ml inj 3ml cartridges
0601012F0BBACAC,Humalog Mix50 Pen 100units/ml inj 3ml pre-filled pens
0601012F0BBADAD,Humalog Mix50 100units/ml inj 3ml cartridges
0601012F0BBAEAA,Humalog Mix25 KwikPen 100units/ml inj 3ml pre-filled pens
0601012F0BBAFAC,Humalog Mix50 KwikPen 100units/ml inj 3ml pre-filled pens
0601012S0AAALAL,Insulin isophane human 100units/ml inj 3ml cartridges
0601012S0AAAMAM,Insulin isophane human 100units/ml inj 1.5ml cartridges
0601012S0AAANAN,Insulin isophane bovine 100units/ml inj 1.5ml cartridges
0601012S0AAAPAP,Insulin isophane porcine 100units/ml inj 1.5ml cartridges
0601012S0AAASAS,Insulin isophane bovine 100units/ml inj 3ml cartridges
0601012S0AAATAT,Insulin isophane porcine 100units/ml inj 3ml cartridges
0601012S0BCADAN,Hypurin Bovine Isophane 100units/ml inj 1.5ml cartridges
0601012S0BCAFAP,Hypurin Porcine Isophane 100units/ml inj 1.5ml cartridges
0601012S0BCAGAS,Hypurin Bovine Isophane 100units/ml inj 3ml cartridges
0601012S0BCAHAT,Hypurin Porcine Isophane 100units/ml inj 3ml cartridges
0601012S0BDAKAM,Human Insulatard Penfill 100units/ml inj 1.5ml cartridges
0601012S0BDALAL,Insulatard Penfill 100units/ml inj 3ml cartridges
0601012S0BDAMAI,Insulatard InnoLet 100units/ml inj 3ml pre-filled pens
0601012S0BDANAI,Insulatard FlexPen 100units/ml suspension for injection
0601012S0BGADAL,Humulin I 100units/ml inj 3ml cartridges
0601012S0BGAEAI,Humulin I Pen 100units/ml inj 3ml pre-filled pens
0601012S0BGAFAI,Humulin I KwikPen 100units/ml inj 3ml pre-filled pens
0601012S0BIABAL,Insuman Basal 100units/ml inj 3ml cartridges
0601012S0BIACAI,Insuman Basal 100units/ml inj 3ml pre-filled OptiSet pens
0601012S0BIADAI,Insuman Basal 100units/ml inj 3ml pre-filled SoloStar pens
0601012V0AAAAAA,Insulin glargine 100units/ml inj 3ml cartridges
0601012V0AAADAD,Insulin glargine 100units/ml inj 3ml pf dispos dev
0601012V0AAAEAE,Insulin glargine 300units/ml inj 1.5ml pf dispos dev
0601012V0AAAFAF,Insulin glargine 300units/ml inj 3ml pf disposable devices
0601012V0BBAAAA,Lantus 100units/ml solution for injection 3ml cartridges
0601012V0BBACAD,Lantus 100units/ml inj 3ml pre-filled OptiSet pens
0601012V0BBADAA,Lantus 100units/ml inj 3ml OptiClik cartridges
0601012V0BBAEAD,Lantus 100units/ml inj 3ml pre-filled SoloStar pens
0601012V0BCAAAE,Toujeo 300units/ml inj 1.5ml pre-filled SoloStar pens
0601012V0BCABAF,Toujeo 300units/ml inj 3ml pre-filled DoubleStar pens
0601012V0BDABAA,Abasaglar 100units/ml solution for injection 3ml cartridges
0601012V0BDACAD,Abasaglar KwikPen 100units/ml inj 3ml pre-filled pens
0601012V0BEAAAD,Semglee 100units/ml inj 3ml pre-filled pens
0601012W0AAAAAA,Insulin aspart biphasic 30/70 100units/ml inj 3ml cartridges
0601012W0AAABAB,Insulin aspart biphasic 30/70 100u/ml inj 3ml pf dispos dev
0601012W0BBAAAA,NovoMix 30 Penfill 100units/ml inj 3ml cartridges
0601012W0BBABAB,NovoMix 30 FlexPen 100units/ml inj 3ml pre-filled pens
0601012X0AAAAAA,Insulin detemir 100units/ml inj 3ml cartridges
0601012X0AAABAB,Insulin detemir 100units/ml inj 3ml pf dispos dev
0601012X0BBAAAA,Levemir Penfill 100units/ml inj 3ml cartridges
0601012X0BBABAB,Levemir FlexPen 100units/ml inj 3ml pre-filled pens
0601012X0BBACAB,Levemir InnoLet 100units/ml inj 3ml pre-filled pens
0601012Z0AAAAAA,Insulin degludec 100units/ml inj 3ml cartridges
0601012Z0AAABAB,Insulin degludec 100units/ml inj 3ml pf dispos dev
0601012Z0AAACAC,Insulin degludec 200units/ml inj 3ml pf dispos dev
0601012Z0BBAAAA,Tresiba Penfill 100units/ml inj 3ml cartridges
0601012Z0BBABAB,Tresiba FlexTouch 100units/ml inj 3ml pre-filled pens
0601012Z0BBACAC,Tresiba FlexTouch 200units/ml inj 3ml pre-filled pens
