code,description
420422005,Ketoacidosis due to diabetes mellitus (disorder)
420662003,Coma due to diabetes mellitus (disorder)
421725003,Hypoglycemic coma due to diabetes mellitus (disorder)
421895002,Peripheral vascular disorder due to diabetes mellitus (disorder)
421966007,Non-ketotic non-hyperosmolar coma due to diabetes mellitus (disorder)
422088007,Disorder of nervous system due to diabetes mellitus (disorder)
422126006,Hyperosmolar coma due to diabetes mellitus (disorder)
422183001,Skin ulcer due to diabetes mellitus (disorder)
422275004,Gangrene due to diabetes mellitus (disorder)
424736006,Peripheral neuropathy due to diabetes mellitus (disorder)
425455002,Glomerulonephritis due to diabetes mellitus (disorder)
427943001,Ophthalmoplegia due to diabetes mellitus (disorder)
43959009,Cataract of eye due to diabetes mellitus (disorder)
441628001,Multiple complications due to diabetes mellitus (disorder)
441656006,Hyperglycemic crisis due to diabetes mellitus (disorder)
445170001,Macroalbuminuric nephropathy due to diabetes mellitus (disorder)
4855003,Retinopathy due to diabetes mellitus (disorder)
48951005,Bullous disease due to diabetes mellitus (disorder)
49455004,Polyneuropathy due to diabetes mellitus (disorder)
50620007,Autonomic neuropathy due to diabetes mellitus (disorder)
59276001,Proliferative retinopathy due to diabetes mellitus (disorder)
62260007,Pretibial pigmental patches due to diabetes mellitus (disorder)
63510008,Nodular glomerulosclerosis of kidney due to diabetes mellitus (disorder)
707221002,Glomerulosclerosis of kidney due to diabetes mellitus (disorder)
713457002,Neovascular glaucoma due to diabetes mellitus (disorder)
713704004,Gastroparesis due to diabetes mellitus (disorder)
723074006,Renal papillary necrosis due to diabetes mellitus (disorder)
724136006,Mastopathy due to diabetes mellitus (disorder)
724810001,Radiculoplexoneuropathy due to diabetes mellitus (disorder)
724876003,Lesion of skin due to diabetes mellitus (disorder)
724997001,Lumbosacral plexopathy co-occurrent and due to diabetes mellitus (disorder)
735200002,Absence of lower limb due to diabetes mellitus (disorder)
735537007,Hyperosmolar hyperglycemic coma due to diabetes mellitus without ketoacidosis (disorder)
735538002,Lactic acidosis due to diabetes mellitus (disorder)
735539005,Metabolic acidosis due to diabetes mellitus (disorder)
74627003,Complication due to diabetes mellitus (disorder)
762489000,Acute complication due to diabetes mellitus (disorder)
768792007,Cataract of right eye due to diabetes mellitus (disorder)
768793002,Cataract of left eye due to diabetes mellitus (disorder)
768794008,Cataract of bilateral eyes due to diabetes mellitus (disorder)
768797001,Iritis of right eye due to diabetes mellitus (disorder)
768798006,Iritis of left eye due to diabetes mellitus (disorder)
768799003,Iritis of bilateral eyes due to diabetes mellitus (disorder)
769181007,Preproliferative retinopathy of right eye due to diabetes mellitus (disorder)
769182000,Preproliferative retinopathy of left eye due to diabetes mellitus (disorder)
769183005,Mild nonproliferative retinopathy of right eye due to diabetes mellitus (disorder)
769184004,Mild nonproliferative retinopathy of left eye due to diabetes mellitus (disorder)
769185003,Moderate nonproliferative retinopathy of right eye due to diabetes mellitus (disorder)
769186002,Moderate nonproliferative retinopathy of left eye due to diabetes mellitus (disorder)
769187006,Severe nonproliferative retinopathy of right eye due to diabetes mellitus (disorder)
769188001,Severe nonproliferative retinopathy of left eye due to diabetes mellitus (disorder)
769190000,Very severe nonproliferative retinopathy of right eye due to diabetes mellitus (disorder)
769191001,Very severe nonproliferative retinopathy of left eye due to diabetes mellitus (disorder)
769217008,Macular edema of right eye due to diabetes mellitus (disorder)
769218003,Macular edema of left eye due to diabetes mellitus (disorder)
769221001,Clinically significant macular edema of right eye due to diabetes mellitus (disorder)
769222008,Clinically significant macular edema of left eye due to diabetes mellitus (disorder)
769244003,Disorder of right macula due to diabetes mellitus (disorder)
769245002,Disorder of left macula due to diabetes mellitus (disorder)
770094004,Cervical radiculoplexus neuropathy due to diabetes mellitus (disorder)
770095003,Cranial nerve palsy due to diabetes mellitus (disorder)
770096002,Erectile dysfunction due to diabetes mellitus (disorder)
770097006,Clinically significant macular edema due to diabetes mellitus (disorder)
770323005,Retinal edema due to diabetes mellitus (disorder)
770324004,Ischemia of retina due to diabetes mellitus (disorder)
770361008,Vitreous hemorrhage of right eye due to diabetes mellitus (disorder)
770362001,Vitreous hemorrhage of left eye due to diabetes mellitus (disorder)
770581008,Microaneurysm of right retinal artery due to diabetes mellitus (disorder)
770582001,Microaneurysm of left retinal artery due to diabetes mellitus (disorder)
770599000,Venous beading of right retina due to diabetes mellitus (disorder)
770600002,Venous beading of left retina due to diabetes mellitus (disorder)
770765001,Proliferative retinopathy of right eye due to diabetes mellitus (disorder)
770766000,Proliferative retinopathy of left eye due to diabetes mellitus (disorder)
788878000,Cardiomyopathy due to diabetes mellitus (disorder)
789562001,Ulcer of heel due to diabetes mellitus (disorder)
789568002,Ulcer of midfoot due to diabetes mellitus (disorder)
789585000,Sensory polyneuropathy due to diabetes mellitus (disorder)
79554005,Asymmetric proximal motor neuropathy due to diabetes mellitus (disorder)
816177009,Nonproliferative retinopathy of left eye due to diabetes mellitus (disorder)
816178004,Nonproliferative retinopathy of right eye due to diabetes mellitus (disorder)
816961009,Stable treated proliferative retinopathy of right eye due to diabetes mellitus (disorder)
816962002,Stable treated proliferative retinopathy of left eye due to diabetes mellitus (disorder)
81830002,Mononeuropathy simplex due to diabetes mellitus (disorder)
822995009,Hyperglycemia due to diabetes mellitus (disorder)
82980005,Anemia due to diabetes mellitus (disorder)
860712005,Disorder of macula of bilateral eyes due to diabetes mellitus present (situation)
860721006,Disorder of macula of bilateral eyes due to diabetes mellitus (disorder)
860798008,Glaucoma due to diabetes mellitus (disorder)
860883001,Generalized autonomic neuropathy due to diabetes mellitus (disorder)
860977000,Ulcer of right foot due to diabetes mellitus (disorder)
860978005,Ulcer of left foot due to diabetes mellitus (disorder)
860979002,Chronic ulcer of right foot due to diabetes mellitus (disorder)
860980004,Chronic ulcer of left foot due to diabetes mellitus (disorder)
863879002,At low risk of ulcer of right foot due to diabetes mellitus (finding)
863880004,At low risk of ulcer of left foot due to diabetes mellitus (finding)
863881000,At moderate risk of ulcer of left foot due to diabetes mellitus (finding)
863882007,At increased risk of ulcer of left foot due to diabetes mellitus (finding)
863883002,At increased risk of ulcer of right foot due to diabetes mellitus (finding)
863884008,At high risk of ulcer of right foot due to diabetes mellitus (finding)
863885009,At moderate risk of ulcer of right foot due to diabetes mellitus (finding)
863886005,At high risk of ulcer of left foot due to diabetes mellitus (finding)
870420005,Severe nonproliferative retinopathy with venous beading of retina due to diabetes mellitus (disorder)
870421009,Cystoid macular edema due to diabetes mellitus (disorder)
870529009,Persistent macular edema due to diabetes mellitus (disorder)
871778008,Centrally involved macular edema due to diabetes mellitus (disorder)
871781003,Non centrally involved macular edema due to diabetes mellitus (disorder)
201252003,Mixed diabetic ulcer - foot (disorder)
267471001,Diabetes + eye manifestation (& [cataract] or [retinopathy]) (disorder)
280137006,Diabetic foot (disorder)
308105005,On examination-Right diabetic foot at risk (finding)
308106006,On examination-Left diabetic foot at risk (finding)
390850007,On examination - no right diabetic retinopathy (situation)
390853009,On examination - no left diabetic retinopathy (situation)
390854003,On examination - diabetic maculopathy present both eyes (situation)
390855002,On examination - diabetic maculopathy absent both eyes (situation)
401191002,Diabetic foot examination (regime/therapy)
408409007,On examination - right eye background diabetic retinopathy (disorder)
408410002,On examination - left eye background diabetic retinopathy (disorder)
408411003,On examination - right eye preproliferative diabetic retinopathy (disorder)
408412005,On examination - left eye preproliferative diabetic retinopathy (disorder)
408413000,On examination - right eye proliferative diabetic retinopathy (disorder)
408414006,On examination - left eye proliferative diabetic retinopathy (disorder)
408415007,On examination - right eye diabetic maculopathy (disorder)
408416008,On examination - left eye diabetic maculopathy (disorder)
412752009,Diabetic foot examination declined (situation)
414894003,On examination - left eye stable treated proliferative diabetic retinopathy (disorder)
414910007,On examination - right eye stable treated proliferative diabetic retinopathy (disorder)
417677008,On examination - sight threatening diabetic retinopathy (disorder)
677741000119109,Non-diabetic proliferative retinopathy of bilateral eyes (disorder)
775841000000109,Diabetic retinopathy detected by national screening programme (disorder)
1102351000000100,Ketosis-prone diabetes mellitus
1102351000000105,Ketosis-prone diabetes mellitus (disorder)
890171006,Ketosis-prone diabetes mellitus (disorder)
106281000119103,Pre-existing diabetes mellitus in mother complicating childbirth (disorder)
10754881000119104,Diabetes mellitus in mother complicating childbirth (disorder)
609563008,Pre-existing diabetes mellitus in pregnancy (disorder)
315051004,Diabetes resolved (finding)
703136005,Diabetes mellitus in remission (disorder)
111552007,Diabetes mellitus without complication (disorder)
11530004,Brittle diabetes mellitus (finding)
170745003,Diabetic on diet only (finding)
170747006,Diabetic on insulin (finding)
170763003,Diabetic - good control (finding)
190329007,Diabetes mellitus with hyperosmolar coma (disorder)
198121000000103,Hypoglycaemic warning impaired (disorder)
198131000000101,Hypoglycaemic warning good (disorder)
230573007,Diabetic distal sensorimotor polyneuropathy (disorder)
230578003,Diabetic truncal radiculopathy (disorder)
237622006,Poor glycemic control (disorder)
237650006,Insulin resistance in diabetes (disorder)
25907005,Diabetic gangrene (disorder)
267467004,Diabetes mellitus (& [ketoacidosis]) (disorder)
268519009,Diabetic - poor control (finding)
311366001,Kimmelstiel-Wilson syndrome (disorder)
385041000000108,Diabetes mellitus with multiple complications (disorder)
385051000000106,Pre-existing diabetes mellitus (disorder)
407569005,Patient on maximal tolerated therapy for diabetes (finding)
426875007,Latent autoimmune diabetes mellitus in adult (disorder)
429729007,Diabetic education completed (situation)
446641003,Renal cysts and diabetes syndrome (disorder)
54181000,Diabetes-nephrosis syndrome (disorder)
658011000000104,Diabetes mellitus with other specified manifestation (disorder)
709147009,Gingivitis co-occurrent with diabetes mellitus (disorder)
716031000000106,Excepted from diabetes quality indicators - informed dissent (finding)
716362006,Gingival disease co-occurrent with diabetes mellitus (disorder)
717421000000100,Excepted from diabetes quality indicators - patient unsuitable (finding)
729981000000105,Renal cysts and diabetes syndrome (disorder)
73211009,Diabetes mellitus (disorder)
735199000,History of diabetes related lower limb amputation (situation)
773001000000103,Symptomatic diabetic peripheral neuropathy (disorder)
783722008,Myopathy and diabetes mellitus (disorder)
80660001,Mauriac's syndrome (disorder)
894741000000107,Hypoglycaemic warning absent (disorder)
292571000000107,Cystic fibrosis related diabetes mellitus
286451000000100,Cystic fibrosis related diabetes mellitus (disorder)
426705001,Diabetes mellitus co-occurrent and due to cystic fibrosis (disorder)
427089005,Diabetes mellitus due to cystic fibrosis (disorder)
609562003,Maturity onset diabetes of the young type 1 (disorder)
237604008,Maturity onset diabetes of the young type 2 (disorder)
78471000000108,Maturity onset diabetes mellitus in young
28453007,Maturity onset diabetes mellitus in young (disorder)
400971001,Maturity onset diabetes mellitus in young (disorder)
974141000000109,Maturity onset diabetes of the young type 5
974131000000100,Maturity onset diabetes of the young type 5 (disorder)
609561005,Maturity-onset diabetes of the young (disorder)
609577006,Maturity-onset diabetes of the young type 10 (disorder)
609578001,Maturity-onset diabetes of the young type 11 (disorder)
609570008,Maturity-onset diabetes of the young type 3 (disorder)
609571007,Maturity-onset diabetes of the young type 4 (disorder)
609572000,Maturity-onset diabetes of the young type 5 (disorder)
609573005,Maturity-onset diabetes of the young type 6 (disorder)
609574004,Maturity-onset diabetes of the young type 7 (disorder)
609575003,Maturity-onset diabetes of the young type 8 (disorder)
609576002,Maturity-onset diabetes of the young type 9 (disorder)
771521000000101,History of autosomal dominant diabetes mellitus (situation)
472972006,History of maturity onset diabetes mellitus in young (situation)
609565001,Permanent neonatal diabetes mellitus (disorder)
724067006,Permanent neonatal diabetes mellitus with cerebellar agenesis syndrome (disorder)
782825008,Primary microcephaly epilepsy permanent neonatal diabetes syndrome (disorder)
609568004,Diabetes mellitus due to genetic defect in beta cell function (disorder)
609569007,Diabetes mellitus due to genetic defect in insulin action (disorder)
91352004,Diabetes mellitus due to structurally abnormal insulin (disorder)
5969009,Diabetes mellitus associated with genetic syndrome (disorder)
390716007,Diabetes mellitus autosomal dominant type 2 (disorder)
70694009,Wolfram syndrome (disorder)
734022008,Wolfram-like syndrome (disorder)
237610008,Acrorenal field defect ectodermal dysplasia and lipoatrophic diabetes (disorder)
733072002,Alaninuria microcephaly dwarfism enamel hypoplasia diabetes mellitus syndrome (disorder)
720519003,Atherosclerosis deafness diabetes epilepsy nephropathy syndrome (disorder)
284449005,Congenital total lipodystrophy (disorder)
816067005,Diabetes hypogonadism deafness intellectual disability syndrome (disorder)
390715006,Diabetes mellitus autosomal dominant (disorder)
237616002,Hypogonadism diabetes mellitus alopecia mental retardation and electrocardiographic abnormalities (disorder)
722454003,Intellectual disability craniofacial dysmorphism hypogonadism diabetes mellitus syndrome (disorder)
782755007,Primary microcephaly mild intellectual disability young-onset diabetes syndrome (disorder)
724276006,X-linked immune dysregulation polyendocrinopathy enteropathy syndrome (disorder)
237619009,Diabetes-deafness syndrome maternally transmitted (disorder)
721973006,Lipodystrophy intellectual disability deafness syndrome (disorder)
237608006,Lipodystrophy partial with Rieger anomaly short stature and insulinopenic diabetes mellitus (disorder)
335621000000101,Maternally inherited diabetes mellitus (disorder)
237617006,Megaloblastic anemia thiamine-responsive with diabetes mellitus and sensorineural deafness (disorder)
722206009,Pancreatic hypoplasia diabetes mellitus congenital heart disease syndrome (disorder)
237612000,Photomyoclonus diabetes mellitus deafness nephropathy and cerebral dysfunction (disorder)
33559001,Pineal hyperplasia AND diabetes mellitus syndrome (disorder)
190447002,Steroid-induced diabetes (disorder)
190416008,Steroid-induced diabetes mellitus without complication (disorder)
127012008,Lipoatrophic diabetes (disorder)
112991000000101,Lipoatrophic diabetes mellitus without complication (disorder)
51002006,Diabetes mellitus associated with pancreatic disease (disorder)
105401000119101,Diabetes mellitus due to pancreatic injury (disorder)
122481000000101,Fibrocalculous pancreatic diabetes
99261000000102,Fibrocalculous pancreatic diabetes
2751001,Fibrocalculous pancreatic diabetes (disorder)
408545008,Fibrocalculous pancreatic diabetes (disorder)
413184002,Fibrocalculous pancreatopathy without complication (disorder)
104031000000108,Secondary pancreatic diabetes mellitus
122411000000108,Secondary pancreatic diabetes mellitus without complication
122961000000101,Secondary pancreatic diabetes mellitus without complication (disorder)
303059007,Postpancreatectomy hypoinsulinemia (disorder)
771571000000102,History of secondary diabetes mellitus (situation)
368601000119102,Hyperosmolar coma due to secondary diabetes mellitus (disorder)
368711000119106,Mild nonproliferative retinopathy due to secondary diabetes mellitus (disorder)
368741000119105,Moderate non-proliferative retinopathy due to secondary diabetes mellitus (disorder)
368721000119104,Non-proliferative retinopathy due to secondary diabetes mellitus (disorder)
8801005,Secondary diabetes mellitus (disorder)
237601000,Secondary endocrine diabetes mellitus (disorder)
445260006,Posttransplant diabetes mellitus (disorder)
59079001,Diabetes mellitus associated with hormonal etiology (disorder)
42954008,Diabetes mellitus associated with receptor abnormality (disorder)
737212004,Diabetes mellitus caused by chemical (disorder)
75682002,Diabetes mellitus caused by insulin receptor antibodies (disorder)
408540003,Diabetes mellitus caused by non-steroid drugs (disorder)
413183008,Diabetes mellitus caused by non-steroid drugs without complication (disorder)
104941000119109,Ischemia of retina due to type 1 diabetes mellitus (disorder)
1067201000000106,Eating disorder co-occurrent with diabetes mellitus type 1 (disorder)
190330002,Hyperosmolar coma due to type 1 diabetes mellitus (disorder)
190368000,Type I diabetes mellitus with ulcer (disorder)
190369008,Type I diabetes mellitus with gangrene (disorder)
190372001,Type I diabetes mellitus maturity onset (disorder)
23045005,Insulin dependent diabetes mellitus type IA (disorder)
237618001,Insulin-dependent diabetes mellitus secretory diarrhea syndrome (disorder)
279291000000109,Diabetes type 1 review (regime/therapy)
290002008,Brittle type I diabetes mellitus (finding)
31211000119101,Peripheral angiopathy due to type 1 diabetes mellitus (disorder)
313435000,Type I diabetes mellitus without complication (disorder)
314771006,Type I diabetes mellitus with hypoglycemic coma (disorder)
314893005,Arthropathy due to type 1 diabetes mellitus (disorder)
367991000119101,Hyperglycemia due to type 1 diabetes mellitus (disorder)
401110002,Type 1 diabetes mellitus with persistent microalbuminuria (disorder)
420270002,Ketoacidosis due to type 1 diabetes mellitus (disorder)
420486006,Exudative maculopathy due to type 1 diabetes mellitus (disorder)
420514000,Persistent proteinuria due to type 1 diabetes mellitus (disorder)
420789003,Retinopathy due to type 1 diabetes mellitus (disorder)
420825003,Gangrene due to type 1 diabetes mellitus (disorder)
420868002,Disorder due to type 1 diabetes mellitus (disorder)
420918009,Mononeuropathy due to type 1 diabetes mellitus (disorder)
421075007,Ketoacidotic coma due to type 1 diabetes mellitus (disorder)
421365002,Peripheral circulatory disorder due to type 1 diabetes mellitus (disorder)
421468001,Disorder of nervous system due to type 1 diabetes mellitus (disorder)
421893009,Renal disorder due to type 1 diabetes mellitus (disorder)
421920002,Cataract of eye due to diabetes mellitus type 1 (disorder)
422228004,Multiple complications due to type 1 diabetes mellitus (disorder)
444073006,Type I diabetes mellitus uncontrolled (finding)
46635009,Diabetes mellitus type 1 (disorder)
472970003,History of diabetes mellitus type 1 (situation)
703137001,Type I diabetes mellitus in remission (disorder)
713702000,Gastroparesis due to type 1 diabetes mellitus (disorder)
713705003,Polyneuropathy due to type 1 diabetes mellitus (disorder)
71771000119100,Neuropathic arthropathy due to type 1 diabetes mellitus (disorder)
739681000,Disorder of eye due to type 1 diabetes mellitus (disorder)
754101000000103,Type I diabetic dietary review (regime/therapy)
754461000000105,Referral to type I diabetes structured education programme (procedure)
769219006,Macular edema due to type 1 diabetes mellitus (disorder)
199229001,Pre-existing type 1 diabetes mellitus (disorder)
28032008,Insulin dependent diabetes mellitus type IB (disorder)
31321000119102,Diabetes mellitus type 1 without retinopathy (disorder)
444074000,Type I diabetes mellitus well controlled (finding)
609564002,Pre-existing type 1 diabetes mellitus in pregnancy (disorder)
770098001,Cranial nerve palsy due to type 1 diabetes mellitus (disorder)
870528001,Newly diagnosed type 1 diabetes mellitus (finding)
102781000119107,Sensory neuropathy due to type 1 diabetes mellitus (disorder)
104951000119106,Vitreous hemorrhage due to type 1 diabetes mellitus (disorder)
10656231000119100,Ulcer of skin of toe due to type 1 diabetes mellitus (disorder)
109171000119104,Retinal edema due to type 1 diabetes mellitus (disorder)
110141000119100,Ulcer of lower limb due to type 1 diabetes mellitus (disorder)
120711000119108,Hypoglycemic unawareness due to type 1 diabetes mellitus (disorder)
128001000119105,Hypertension concurrent and due to end stage renal disease on dialysis due to type 1 diabetes mellitus (disorder)
137941000119106,Hyperlipidemia due to type 1 diabetes mellitus (disorder)
138881000119106,Mild nonproliferative retinopathy due to type 1 diabetes mellitus (disorder)
138891000119109,Moderate nonproliferative retinopathy due to type 1 diabetes mellitus (disorder)
1571000119104,Mixed hyperlipidemia due to type 1 diabetes mellitus (disorder)
164881000119109,Ulcer of foot due to type 1 diabetes mellitus (disorder)
16697421000119103,Moderate nonproliferative retinopathy of left eye due to diabetes mellitus type 1 (disorder)
16697471000119102,Moderate nonproliferative retinopathy of right eye due to diabetes mellitus type 1 (disorder)
16697521000119104,Moderate nonproliferative retinopathy of bilateral eyes due to diabetes mellitus type 1 (disorder)
16745211000119100,Nonproliferative retinopathy of left eye due to diabetes mellitus type 1 (disorder)
16745411000119104,Mild nonproliferative retinopathy of bilateral eyes due to diabetes mellitus type 1 (disorder)
16745611000119102,Mild nonproliferative retinopathy of right eye due to diabetes mellitus type 1 (disorder)
16745891000119105,Mild nonproliferative retinopathy of left eye due to diabetes mellitus type 1 (disorder)
16746661000119106,Nonproliferative retinopathy of bilateral eyes due to diabetes mellitus type 1 (disorder)
16746741000119102,Nonproliferative retinopathy of right eye due to diabetes mellitus type 1 (disorder)
16746941000119104,Severe nonproliferative retinopathy of left eye due to diabetes mellitus type 1 (disorder)
16747101000119101,Severe nonproliferative retinopathy of bilateral eyes due to diabetes mellitus type 1 (disorder)
16747341000119101,Severe nonproliferative retinopathy of right eye due to diabetes mellitus type 1 (disorder)
16747741000119100,Proliferative retinopathy of left eye due to diabetes mellitus type 1 (disorder)
16748741000119101,Proliferative retinopathy of right eye due to diabetes mellitus type 1 (disorder)
16749781000119101,Proliferative retinopathy of bilateral eyes due to diabetes mellitus type 1 (disorder)
16891191000119108,Coronary artery disease due to type 1 diabetes mellitus (disorder)
18521000119106,Microalbuminuria due to type 1 diabetes mellitus (disorder)
243421000119104,Proteinuria due to type 1 diabetes mellitus (disorder)
367211000119103,Inflammatory dermatosis due to type 1 diabetes mellitus (disorder)
368521000119107,Disorder of nerve co-occurrent and due to type 1 diabetes mellitus (disorder)
368541000119101,Cheiroarthropathy due to diabetes mellitus type 1 (disorder)
368551000119104,Dyslipidemia due to type 1 diabetes mellitus (disorder)
